target positions:
1.346421 3.109028 0.6574326 
1.493912 3.124082 0.6410058 
1.606266 3.13146 0.5431702 
1.643487 3.128538 0.3987548 
1.592324 3.116354 0.259171 
1.470991 3.099246 0.1741099 
1.322682 3.083305 0.1738529 
1.346017 3.043211 0.6987236 
1.516426 3.060604 0.6797442 
1.64624 3.069129 0.5667055 
1.689245 3.065752 0.3998485 
1.630132 3.051675 0.2385736 
1.489944 3.031909 0.1402941 
1.318588 3.01349 0.1399972 
1.345612 2.977393 0.740015 
1.538941 2.997125 0.718483 
1.686214 3.006797 0.5902407 
1.735003 3.002966 0.4009418 
1.667939 2.986995 0.2179761 
1.508897 2.964571 0.1064785 
1.314494 2.943676 0.1061416 
1.301426 3.251217 0.8022952 
1.54007 3.275573 0.7757163 
1.721863 3.287513 0.617415 
1.782088 3.282783 0.3837461 
1.699305 3.263069 0.1578946 
1.502984 3.235389 0.02026272 
1.263015 3.209596 0.01984692 
1.294029 3.207495 0.8660975 
1.569757 3.235637 0.8353887 
1.779801 3.249431 0.6524878 
1.849385 3.243967 0.3825073 
1.753737 3.221189 0.1215591 
1.526909 3.189207 -0.03746033 
1.249649 3.159406 -0.03794074 
1.286632 3.163773 0.9299002 
1.599445 3.1957 0.8950605 
1.837739 3.211349 0.6875603 
1.916681 3.20515 0.3812685 
1.808169 3.179309 0.08522344 
1.550833 3.143026 -0.09518361 
1.236283 3.109217 -0.09572864 
1.264661 3.442054 0.8761654 
1.553195 3.471503 0.8440299 
1.772994 3.485938 0.6526349 
1.845809 3.48022 0.3701158 
1.74572 3.456384 0.09704828 
1.508357 3.422917 -0.0693562 
1.21822 3.391732 -0.06985903 
1.251551 3.427987 0.951447 
1.584923 3.462013 0.9143181 
1.838877 3.478691 0.6931806 
1.923008 3.472084 0.3667588 
1.807364 3.444545 0.05125761 
1.533116 3.405877 -0.141006 
1.197893 3.369846 -0.1415868 
1.238441 3.413921 1.026729 
1.61665 3.452523 0.9846058 
1.90476 3.471444 0.733726 
2.000206 3.463949 0.3634019 
1.869009 3.432706 0.0054667 
1.557875 3.388837 -0.2126555 
1.177567 3.34796 -0.2133145 
1.242484 3.648542 0.8662705 
1.531018 3.677991 0.8341351 
1.750817 3.692426 0.6427398 
1.823632 3.686708 0.3602207 
1.723542 3.662873 0.08715343 
1.486179 3.629406 -0.07925129 
1.196043 3.598221 -0.07975411 
1.225928 3.666564 0.9400144 
1.559299 3.700589 0.9028854 
1.813254 3.717267 0.6817479 
1.897384 3.71066 0.3553262 
1.781741 3.683121 0.03982496 
1.507493 3.644453 -0.1524386 
1.17227 3.608422 -0.1530194 
1.209371 3.684585 1.013758 
1.58758 3.723187 0.9716353 
1.87569 3.742108 0.7207558 
1.971137 3.734613 0.3504314 
1.83994 3.70337 -0.007503748 
1.528806 3.659501 -0.225626 
1.148497 3.618624 -0.226285 
1.238729 3.834979 0.7743211 
1.477373 3.859336 0.7477422 
1.659166 3.871274 0.5894408 
1.719391 3.866545 0.355772 
1.636608 3.846831 0.1299205 
1.440287 3.819151 -0.007711411 
1.200318 3.793358 -0.008127213 
1.221589 3.881972 0.8337765 
1.497318 3.910114 0.8030672 
1.707361 3.923908 0.6201663 
1.776945 3.918444 0.3501859 
1.681298 3.895666 0.08923769 
1.454469 3.863684 -0.06978178 
1.177209 3.833883 -0.07026219 
1.204449 3.928965 0.8932319 
1.517262 3.960892 0.8583922 
1.755556 3.976541 0.6508918 
1.834498 3.970342 0.3446 
1.725987 3.944501 0.04855514 
1.468651 3.908218 -0.1318519 
1.1541 3.874408 -0.1323969 
result positions:
1.356501 2.988721 0.7333593 
1.43383 3.071789 0.6563804 
1.614563 3.100538 0.5141022 
1.692492 3.092942 0.3978763 
1.636685 3.042697 0.2861512 
1.467999 3.150968 0.1812348 
1.30138 3.054004 0.1318448 
1.376844 3.047017 0.7366309 
1.491 2.994945 0.7232065 
1.6601 2.983256 0.6067529 
1.686216 3.067258 0.4219961 
1.598341 3.090875 0.2257676 
1.45348 3.029965 0.1232042 
1.303151 2.989276 0.1440277 
1.348863 2.989383 0.7650208 
1.523719 2.952278 0.6828873 
1.711734 3.044518 0.6350198 
1.742125 2.968371 0.4098787 
1.65961 3.041601 0.1967094 
1.51832 2.95899 0.08827782 
1.302323 2.877257 0.09426093 
1.258169 3.184291 0.782208 
1.450226 3.151083 0.799418 
1.734509 3.237662 0.6806223 
1.783885 3.275996 0.3859129 
1.674729 3.277808 0.1588631 
1.482606 3.236512 0.04352903 
1.294978 3.217975 -0.02715135 
1.143148 3.175221 0.8160577 
1.490149 3.169777 0.8967366 
1.803746 3.198565 0.7323627 
1.85663 3.255582 0.3799384 
1.732147 3.253142 0.1397667 
1.518202 3.199863 -0.01894832 
1.330965 3.14432 -0.03723454 
1.154865 3.091224 0.9216514 
1.551403 3.085245 0.9349189 
1.895105 3.10493 0.7149167 
1.884254 3.234996 0.3860543 
1.778547 3.183102 0.08459568 
1.563049 3.141659 -0.105154 
1.255852 3.094476 -0.07379866 
1.117176 3.326885 0.7966309 
1.53525 3.346167 0.8671193 
1.854656 3.422916 0.7230592 
1.835717 3.476943 0.4131064 
1.706266 3.464029 0.1027606 
1.495952 3.428497 -0.0891428 
1.210023 3.388021 -0.06301475 
1.166797 3.326075 0.914784 
1.540653 3.363325 1.036135 
1.927156 3.458792 0.7482505 
1.913229 3.481382 0.4063787 
1.805657 3.453428 0.07287049 
1.540155 3.391897 -0.1590505 
1.235223 3.35576 -0.1544635 
1.109483 3.304832 0.9738088 
1.609078 3.379158 1.140971 
1.965214 3.45248 0.7850513 
1.960207 3.49797 0.4012487 
1.83013 3.445946 0.0177505 
1.561895 3.39012 -0.254447 
1.191065 3.310314 -0.2460828 
1.316044 3.576145 0.9559126 
1.575459 3.645418 0.8285861 
1.860111 3.75622 0.6736693 
1.782351 3.706211 0.3715756 
1.681679 3.669508 0.09579468 
1.465747 3.64319 -0.07946777 
1.195049 3.581881 -0.1213279 
1.173068 3.606238 1.025486 
1.596134 3.669188 1.065784 
1.858014 3.771152 0.7005019 
1.88325 3.752289 0.3855968 
1.741491 3.705617 0.03161955 
1.479187 3.650454 -0.111589 
1.215007 3.570332 -0.1943765 
1.206464 3.673202 1.129662 
1.647701 3.723397 0.983511 
1.937624 3.725659 0.7614303 
1.936573 3.740016 0.3383646 
1.788613 3.734993 -0.001371861 
1.505526 3.669776 -0.2085376 
1.192291 3.552447 -0.2901256 
1.210037 3.893502 0.9245114 
1.526001 3.852662 0.8798466 
1.753627 3.920105 0.6472158 
1.752919 3.897842 0.3727858 
1.623348 3.869055 0.1565404 
1.398719 3.815703 -0.01002884 
1.264384 3.773407 -0.1001027 
1.183401 3.937946 0.9451962 
1.561977 3.96217 0.9395938 
1.882787 3.929766 0.6875703 
1.819247 3.929425 0.3608327 
1.630216 3.917437 0.0866704 
1.443522 3.890668 -0.1254756 
1.17697 3.826112 -0.1805401 
