target positions:
0.5107301 2.7614 0.3852055 
0.6855158 2.748015 0.2734103 
0.8903767 2.730472 0.2425635 
1.08989 2.711805 0.2979984 
1.24956 2.695242 0.4301295 
1.341776 2.683646 0.6161108 
1.350594 2.679023 0.8237839 
1.27449 2.682172 1.017241 
1.126621 2.692548 1.16303 
0.9325575 2.708358 1.235944 
0.725853 2.726867 1.223376 
0.5422492 2.744875 1.127498 
0.3944893 2.773876 0.2664192 
0.6275367 2.756029 0.1173592 
0.9006846 2.732639 0.07623005 
1.166703 2.70775 0.1501431 
1.379595 2.685666 0.3263183 
1.50255 2.670205 0.5742931 
1.514308 2.664041 0.8511906 
1.412835 2.668239 1.109133 
1.215677 2.682074 1.303519 
0.9569255 2.703153 1.400738 
0.6813197 2.727832 1.38398 
0.4365146 2.751843 1.256142 
0.2782483 2.786353 0.1476331 
0.5695575 2.764044 -0.038692 
0.9109924 2.734806 -0.09010363 
1.243516 2.703695 0.002287865 
1.509631 2.676089 0.2225068 
1.663325 2.656763 0.5324752 
1.678021 2.649058 0.8785973 
1.551181 2.654306 1.201025 
1.304734 2.6716 1.444007 
0.9812937 2.697949 1.565531 
0.6367862 2.728797 1.544584 
0.33078 2.758811 1.384787 
0.535387 3.040264 0.3903663 
0.7101727 3.026879 0.2785714 
0.9150336 3.009336 0.2477245 
1.114547 2.99067 0.3031592 
1.274217 2.974107 0.4352906 
1.366433 2.962511 0.6212718 
1.375251 2.957888 0.8289452 
1.299146 2.961036 1.022401 
1.151278 2.971413 1.168191 
0.9572144 2.987222 1.241106 
0.7505099 3.005731 1.228537 
0.5669061 3.02374 1.132658 
0.4191461 3.052741 0.2715802 
0.6521935 3.034894 0.1225202 
0.9253415 3.011503 0.08139086 
1.19136 2.986614 0.155304 
1.404252 2.96453 0.3314791 
1.527207 2.949069 0.5794539 
1.538965 2.942905 0.8563514 
1.437492 2.947104 1.114294 
1.240335 2.960938 1.30868 
0.9815824 2.982018 1.405899 
0.7059766 3.006697 1.389141 
0.4611715 3.030708 1.261303 
0.3029051 3.065217 0.1527939 
0.5942144 3.042908 -0.03353095 
0.9356493 3.01367 -0.08494258 
1.268173 2.982559 0.007448912 
1.534288 2.954954 0.2276678 
1.687982 2.935628 0.5376363 
1.702678 2.927922 0.8837581 
1.575838 2.933171 1.206186 
1.329391 2.950464 1.449169 
1.00595 2.976813 1.570693 
0.6614432 3.007662 1.549745 
0.355437 3.037676 1.389948 
