target positions:
1.329196 3.106715 0.638752 
1.47736 3.117551 0.6253462 
1.591819 3.122157 0.5298066 
1.631825 3.118894 0.3861454 
1.583136 3.108924 0.2455046 
1.463086 3.095795 0.1579525 
1.314412 3.084183 0.1546569 
1.326055 3.040726 0.6796496 
1.497243 3.053245 0.6641605 
1.629488 3.058567 0.5537746 
1.675711 3.054797 0.3877885 
1.619456 3.043278 0.2252927 
1.480751 3.028109 0.1241353 
1.308973 3.014692 0.1203275 
1.322913 2.974737 0.7205472 
1.517126 2.98894 0.7029748 
1.667157 2.994978 0.5777423 
1.719597 2.9907 0.3894317 
1.655776 2.977631 0.205081 
1.498415 2.960423 0.09031796 
1.303534 2.945201 0.08599806 
1.285453 3.249407 0.7835035 
1.525188 3.266939 0.7618122 
1.710385 3.274392 0.6072261 
1.775116 3.269112 0.3747771 
1.696337 3.25298 0.1472158 
1.502092 3.231738 0.005553246 
1.261532 3.212948 0.000221014 
1.275514 3.205592 0.8468947 
1.552503 3.225848 0.8218331 
1.766479 3.234459 0.6432247 
1.841269 3.228359 0.3746536 
1.750248 3.20972 0.1117301 
1.525818 3.185176 -0.0519464 
1.247875 3.163467 -0.05810738 
1.265575 3.161776 0.9102864 
1.579818 3.184757 0.8818536 
1.822573 3.194526 0.6792233 
1.907423 3.187606 0.3745303 
1.804159 3.16646 0.07624435 
1.549544 3.138615 -0.109446 
1.234219 3.113986 -0.1164355 
1.252769 3.440852 0.8577194 
1.542622 3.462049 0.8314939 
1.766537 3.47106 0.6445904 
1.8448 3.464676 0.3635459 
1.749551 3.445171 0.08841157 
1.514698 3.419488 -0.08286643 
1.223847 3.39677 -0.08931351 
1.237751 3.426786 0.9326439 
1.572646 3.451277 0.9023428 
1.831357 3.461689 0.6863952 
1.921782 3.454313 0.3616774 
1.811732 3.431777 0.04378772 
1.540383 3.402103 -0.1541061 
1.204335 3.375855 -0.1615553 
1.222733 3.412721 1.007568 
1.60267 3.440506 0.9731917 
1.896176 3.452317 0.7282 
1.998764 3.44395 0.3598089 
1.873912 3.418383 -0.0008358955 
1.566067 3.384718 -0.2253461 
1.184822 3.354939 -0.2337971 
1.236796 3.647947 0.8485675 
1.526649 3.669144 0.8223419 
1.750564 3.678155 0.6354384 
1.828827 3.671772 0.3543942 
1.733578 3.652267 0.07925963 
1.498725 3.626583 -0.09201813 
1.207874 3.603865 -0.09846544 
1.219296 3.666063 0.92207 
1.554191 3.690554 0.8917689 
1.812901 3.700966 0.6758211 
1.903327 3.69359 0.3511033 
1.793276 3.671054 0.03321385 
1.521928 3.64138 -0.1646802 
1.185879 3.615132 -0.1721294 
1.201795 3.68418 0.9955726 
1.581733 3.711965 0.9611955 
1.875239 3.723776 0.7162037 
1.977826 3.715409 0.3478127 
1.852974 3.689842 -0.01283216 
1.54513 3.656177 -0.2373424 
1.163885 3.626398 -0.2457931 
1.240296 3.834884 0.7576303 
1.48003 3.852416 0.735939 
1.665228 3.859869 0.5813532 
1.729959 3.854589 0.3489041 
1.651179 3.838457 0.1213427 
1.456934 3.817214 -0.0203197 
1.216374 3.798424 -0.02565193 
1.223339 3.88205 0.8170013 
1.500328 3.902306 0.7919397 
1.714305 3.910917 0.6133311 
1.789095 3.904817 0.3447602 
1.698073 3.886178 0.08183646 
1.473643 3.861634 -0.08184004 
1.195701 3.839925 -0.08800077 
1.206382 3.929216 0.8763723 
1.520625 3.952197 0.8479395 
1.763381 3.961966 0.6453092 
1.84823 3.955045 0.3406162 
1.744967 3.933899 0.04233027 
1.490351 3.906055 -0.1433601 
1.175027 3.881425 -0.1503499 
result positions:
1.308183 3.085938 0.6645613 
1.504907 3.094416 0.647599 
1.614092 3.141443 0.5840707 
1.647212 3.113707 0.3477826 
1.611391 3.113424 0.2451968 
1.498265 3.068572 0.1431456 
1.329915 3.054227 0.1475532 
1.32469 3.050716 0.6859968 
1.524002 3.038678 0.7074144 
1.653342 3.077089 0.5918007 
1.644789 3.068523 0.3596232 
1.624951 3.039639 0.1682556 
1.515382 3.008136 0.1208959 
1.336988 2.972157 0.08394217 
1.343572 2.977612 0.7335687 
1.50232 2.992674 0.7270894 
1.647483 2.984637 0.6018426 
1.771924 2.972343 0.43332 
1.710803 2.963893 0.2064085 
1.496622 2.93013 0.1146085 
1.356277 2.884341 0.06798744 
1.278203 3.211733 0.7661629 
1.544908 3.236363 0.7836084 
1.688437 3.265564 0.633101 
1.747285 3.264224 0.3365183 
1.700729 3.226866 0.1108377 
1.556197 3.140229 -0.005692005 
1.319107 3.149211 -0.03380966 
1.267149 3.136395 0.8401961 
1.572929 3.209809 0.8116031 
1.78111 3.213264 0.678664 
1.83091 3.229859 0.3863811 
1.766934 3.198746 0.09360123 
1.579054 3.080655 -0.04420185 
1.332474 3.110106 -0.1065679 
1.206457 3.147995 0.8676195 
1.61523 3.181648 0.9023633 
1.842028 3.203314 0.6726847 
1.891838 3.190936 0.3469677 
1.771464 3.155046 0.07710767 
1.626884 3.05489 -0.1627555 
1.291548 3.004316 -0.09925485 
1.231625 3.327802 0.9235296 
1.572428 3.443702 0.8975563 
1.73608 3.477047 0.6545379 
1.811927 3.471692 0.3506398 
1.768276 3.436525 0.05900741 
1.54773 3.304683 -0.1514194 
1.271272 3.33516 -0.2231095 
1.234334 3.396748 0.9724422 
1.585467 3.426015 0.9380383 
1.828725 3.470314 0.6962597 
1.887208 3.459494 0.3787963 
1.788719 3.453742 0.04528093 
1.578655 3.32124 -0.2184618 
1.209952 3.275423 -0.2217116 
1.189708 3.26888 1.108111 
1.650685 3.416965 1.132173 
1.891349 3.461419 0.7442861 
1.96291 3.449676 0.3423588 
1.866216 3.424623 0.003748655 
1.551974 3.292711 -0.3065748 
1.265488 3.284888 -0.3656194 
1.306145 3.604935 0.9352727 
1.562388 3.691432 0.8839536 
1.751633 3.704818 0.6884303 
1.783539 3.670826 0.365109 
1.712838 3.663024 0.05402851 
1.476176 3.670982 -0.151665 
1.259921 3.61262 -0.2428217 
1.291986 3.6497 1.042399 
1.642161 3.664537 0.9155164 
1.8013 3.712065 0.6841559 
1.86037 3.716617 0.3359642 
1.752043 3.657223 0.02648401 
1.499349 3.673553 -0.2908709 
1.178116 3.630505 -0.2898784 
1.246084 3.686484 1.081197 
1.607742 3.694757 1.006521 
1.877983 3.744362 0.7283297 
1.939763 3.714584 0.366159 
1.832233 3.701554 -0.03734303 
1.522497 3.650064 -0.2939103 
1.211633 3.649921 -0.3573601 
1.28282 3.798817 0.8653851 
1.54273 3.878672 0.8474107 
1.677754 3.882371 0.6160121 
1.710754 3.850828 0.3813162 
1.639541 3.859169 0.0920763 
1.465183 3.862273 -0.08753633 
1.206419 3.84523 -0.1509438 
1.221257 3.874035 0.9838605 
1.551121 3.893227 0.8361778 
1.712625 3.898538 0.6536574 
1.749825 3.922444 0.3722618 
1.684812 3.883167 0.06193066 
1.454189 3.886017 -0.1721001 
1.185192 3.875847 -0.1992126 
1.215496 3.90615 0.9795265 
1.597624 3.926135 0.8882203 
1.74001 3.89761 0.647187 
1.832409 3.954445 0.308522 
1.749184 3.942057 0.01127505 
1.556709 3.928704 -0.1989851 
1.099866 3.897212 -0.230885 
result visibles:
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
True
True
False
False
False
False
False
True
True
False
False
False
False
False
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
