target positions:
0.8864166 3.042113 0.9326129 
1.031337 3.051005 0.8984246 
1.130999 3.057611 0.7876382 
1.149923 3.059579 0.6396933 
1.081373 3.056209 0.5072572 
0.9497521 3.0487 0.4374771 
0.8019166 3.039726 0.455194 
0.8876126 2.978377 0.9688168 
1.053781 2.988573 0.929616 
1.168056 2.996147 0.8025861 
1.189755 2.998404 0.6329491 
1.111154 2.99454 0.4810953 
0.9602344 2.98593 0.4010839 
0.7907233 2.97564 0.4213986 
0.8888087 2.914641 1.005021 
1.076226 2.926141 0.9608073 
1.205112 2.934684 0.817534 
1.229586 2.937229 0.6262052 
1.140934 2.932871 0.4549334 
0.9707167 2.92316 0.3646908 
0.7795298 2.911555 0.3876033 
0.8670864 3.179454 1.087503 
1.101572 3.193841 1.032186 
1.262829 3.20453 0.8529296 
1.293449 3.207714 0.6135495 
1.182533 3.202261 0.3992636 
0.9695654 3.190112 0.2863569 
0.7303627 3.175592 0.3150237 
0.8654482 3.135855 1.146417 
1.134315 3.152352 1.082989 
1.319214 3.164608 0.8774505 
1.354324 3.168259 0.6029723 
1.227145 3.162007 0.3572676 
0.9829528 3.148076 0.2278063 
0.7086779 3.131427 0.2606764 
0.8638101 3.092257 1.205331 
1.167057 3.110863 1.133792 
1.3756 3.124685 0.9019713 
1.4152 3.128804 0.5923948 
1.271758 3.121752 0.3152714 
0.99634 3.10604 0.1692557 
0.6869931 3.087262 0.2063289 
0.8496881 3.368211 1.172916 
1.133195 3.385606 1.106034 
1.328163 3.398529 0.8893037 
1.365185 3.402379 0.5998795 
1.231081 3.395786 0.3407955 
0.973591 3.381097 0.2042849 
0.6843812 3.363541 0.2389445 
0.8454989 3.352288 1.244354 
1.170573 3.372233 1.167665 
1.394128 3.387051 0.9191575 
1.436578 3.391466 0.5872979 
1.282812 3.383906 0.2902269 
0.9875686 3.367064 0.1337008 
0.6559547 3.346934 0.1734426 
0.8413098 3.336365 1.315792 
1.207952 3.358861 1.229297 
1.460093 3.375573 0.9490118 
1.507972 3.380553 0.5747163 
1.334543 3.372026 0.2396584 
1.001546 3.35303 0.06311703 
0.6275282 3.330326 0.1079404 
0.83723 3.575746 1.174084 
1.120737 3.593141 1.107202 
1.315705 3.606064 0.890471 
1.352726 3.609914 0.6010468 
1.218622 3.603321 0.3419631 
0.9611329 3.588632 0.2054524 
0.6719232 3.571076 0.2401121 
0.8312142 3.590252 1.245693 
1.156289 3.610197 1.169004 
1.379843 3.625015 0.9204965 
1.422293 3.62943 0.5886364 
1.268527 3.62187 0.2915654 
0.9732839 3.605027 0.1350396 
0.64167 3.584898 0.1747811 
0.8251985 3.604758 1.317301 
1.191841 3.627253 1.230807 
1.443982 3.643966 0.9505215 
1.49186 3.648945 0.576226 
1.318431 3.640419 0.241168 
0.9854348 3.621423 0.06462669 
0.6114168 3.598719 0.1094501 
0.8318661 3.766174 1.090804 
1.066352 3.780561 1.035486 
1.227608 3.79125 0.8562298 
1.258229 3.794434 0.6168499 
1.147312 3.788981 0.4025638 
0.9343451 3.776832 0.2896571 
0.6951424 3.762312 0.3183239 
0.8250639 3.808601 1.150201 
1.09393 3.825097 1.086773 
1.27883 3.837353 0.8812346 
1.31394 3.841004 0.6067564 
1.186761 3.834752 0.3610518 
0.9425685 3.820822 0.2315905 
0.6682937 3.804172 0.2644606 
0.8182617 3.851027 1.209599 
1.121509 3.869633 1.138061 
1.330052 3.883456 0.9062395 
1.369652 3.887574 0.596663 
1.22621 3.880522 0.3195395 
0.9507918 3.864811 0.1735239 
0.6414449 3.846032 0.2105968 
result positions:
0.8778789 3.059479 0.9717999 
1.053764 3.07355 0.9499817 
1.076934 3.074853 0.7830625 
1.146764 3.116957 0.6819558 
1.08595 3.048863 0.4939275 
0.9808469 3.117751 0.5016241 
0.7989832 3.078218 0.4380186 
0.8397579 2.95426 0.9609098 
1.018425 3.0292 0.9146075 
1.140468 3.009984 0.8326631 
1.202081 3.034984 0.6643605 
1.131813 2.95757 0.4436235 
0.9627471 2.974198 0.408308 
0.7850261 2.984442 0.4113555 
0.8768672 2.924432 0.9653354 
1.010054 2.958826 0.9412212 
1.248968 2.901136 0.8539834 
1.258839 2.868556 0.6219563 
1.190023 2.865645 0.4085817 
0.9709446 2.940148 0.3669739 
0.7811177 2.923636 0.4203134 
0.8548503 3.171743 1.016817 
1.068602 3.221481 1.012646 
1.205409 3.194192 0.8763423 
1.274514 3.199567 0.5963316 
1.141003 3.198451 0.4023631 
1.023999 3.171741 0.3136752 
0.7816474 3.169365 0.3222246 
0.8425102 3.140333 1.061498 
1.108328 3.108888 1.046232 
1.288054 3.110456 0.9188147 
1.360288 3.165092 0.6012688 
1.197496 3.163975 0.3821585 
1.021645 3.127592 0.2541323 
0.7236153 3.132366 0.3125644 
0.8113678 3.06016 1.110082 
1.152776 3.066843 1.143561 
1.32908 3.142575 0.897428 
1.381121 3.116273 0.6412239 
1.241693 3.137796 0.3486073 
1.073724 3.100839 0.25632 
0.7903211 3.118136 0.1980293 
0.7803001 3.314082 1.227518 
1.106816 3.413723 1.088493 
1.250391 3.385861 0.9003072 
1.318571 3.400789 0.6227188 
1.262453 3.396463 0.3385882 
0.9882364 3.40713 0.1958575 
0.7286153 3.288591 0.1501708 
0.733575 3.266296 1.222493 
1.146102 3.397156 1.107903 
1.413961 3.356845 0.9324775 
1.404474 3.377254 0.5738978 
1.288236 3.384665 0.3008969 
1.00508 3.355077 0.1494362 
0.7373657 3.341162 0.1832094 
0.7994559 3.319366 1.273452 
1.21563 3.345499 1.190561 
1.411736 3.40002 0.9624629 
1.509516 3.356876 0.5941224 
1.364282 3.368211 0.2473969 
1.030791 3.374114 0.05230117 
0.6750457 3.312556 0.1065207 
0.8310313 3.540126 1.171327 
1.093121 3.58353 1.036923 
1.233059 3.576099 0.8652339 
1.332331 3.602113 0.6183212 
1.224936 3.619842 0.3307822 
0.9859433 3.596205 0.2035458 
0.6930234 3.571182 0.234024 
0.8045118 3.581116 1.23836 
1.091693 3.580146 1.101688 
1.337455 3.581583 0.9190593 
1.378508 3.634194 0.6292481 
1.307476 3.649844 0.2786942 
1.024153 3.680644 0.08613515 
0.6374764 3.605935 0.07349324 
0.7774931 3.571165 1.350518 
1.248209 3.597014 1.167828 
1.313605 3.659242 0.969913 
1.45103 3.663098 0.6401443 
1.328951 3.629221 0.2717648 
1.006674 3.682761 0.07982588 
0.7261572 3.606212 0.1596494 
0.8012785 3.721494 1.206708 
1.07865 3.811218 1.169005 
1.225682 3.779723 0.8977571 
1.243318 3.813559 0.6240664 
1.147642 3.817409 0.3867867 
0.985831 3.780845 0.3250613 
0.7495528 3.769708 0.2510424 
0.80458 3.771923 1.215015 
1.051887 3.794208 1.11927 
1.215625 3.819089 0.9385209 
1.267711 3.84149 0.6045504 
1.176738 3.857743 0.3232267 
0.9788527 3.82205 0.2318172 
0.71227 3.779104 0.2342196 
0.7532129 3.762591 1.284815 
1.044903 3.839745 1.129538 
1.252148 3.839931 0.9211936 
1.349356 3.903921 0.5916286 
1.229917 3.901907 0.3051612 
1.000852 3.872022 0.170218 
0.6054666 3.842098 0.1475124 
