target positions:
0.6325703 2.74173 0.5003324 
0.768966 2.732776 0.3798091 
0.939604 2.726721 0.3161244 
1.121817 2.724368 0.3177381 
1.2914 2.726031 0.3844354 
1.425827 2.731488 0.5073569 
1.507238 2.740015 0.6701734 
1.524821 2.750478 0.8512568 
1.476239 2.761489 1.026552 
1.367946 2.771583 1.172772 
1.214327 2.779421 1.270495 
1.03579 2.783962 1.306738 
0.5011803 2.737442 0.397882 
0.6830411 2.725503 0.2371843 
0.9105587 2.717429 0.1522713 
1.15351 2.714293 0.1544228 
1.379621 2.716509 0.2433529 
1.558856 2.723785 0.407248 
1.667404 2.735154 0.6243367 
1.690848 2.749106 0.8657813 
1.626072 2.763786 1.099508 
1.481681 2.777246 1.294469 
1.276857 2.787697 1.424766 
1.038807 2.79375 1.47309 
0.3697903 2.733154 0.2954316 
0.5971165 2.71823 0.09455967 
0.8815134 2.708138 -0.0115819 
1.185202 2.704217 -0.008892536 
1.467841 2.706988 0.1022701 
1.691884 2.716083 0.3071392 
1.82757 2.730294 0.5785 
1.856875 2.747733 0.8803058 
1.775905 2.766084 1.172464 
1.595417 2.782909 1.416165 
1.339386 2.795972 1.579036 
1.041823 2.803539 1.639442 
0.6363251 3.021218 0.4838181 
0.7727208 3.012264 0.3632948 
0.943359 3.006208 0.2996101 
1.125572 3.003855 0.3012238 
1.295156 3.005518 0.3679211 
1.429581 3.010975 0.4908426 
1.510993 3.019502 0.6536593 
1.528576 3.029965 0.8347425 
1.479994 3.040976 1.010037 
1.371701 3.051071 1.156258 
1.218082 3.058909 1.253981 
1.039545 3.063449 1.290224 
0.5049353 3.016929 0.3813677 
0.6867961 3.004991 0.2206702 
0.9143136 2.996917 0.135757 
1.157265 2.99378 0.1379085 
1.383376 2.995997 0.2268386 
1.56261 3.003273 0.3907337 
1.671159 3.014642 0.6078224 
1.694603 3.028593 0.849267 
1.629827 3.043274 1.082994 
1.485436 3.056733 1.277955 
1.280612 3.067184 1.408252 
1.042562 3.073238 1.456576 
0.3735453 3.012641 0.2789176 
0.6008713 2.997718 0.07804537 
0.8852682 2.987625 -0.02809596 
1.188957 2.983704 -0.02540684 
1.471596 2.986475 0.08575583 
1.695639 2.99557 0.2906249 
1.831325 3.009782 0.5619857 
1.86063 3.027221 0.8637915 
1.77966 3.045572 1.15595 
1.599172 3.062396 1.399651 
1.343141 3.075459 1.562522 
1.045578 3.083027 1.622928 
0.64008 3.300705 0.467304 
0.7764757 3.291751 0.3467808 
0.9471139 3.285696 0.2830958 
1.129327 3.283343 0.2847095 
1.29891 3.285006 0.3514071 
1.433336 3.290462 0.4743285 
1.514748 3.298989 0.637145 
1.532331 3.309453 0.8182282 
1.483749 3.320463 0.9935236 
1.375456 3.330558 1.139744 
1.221837 3.338396 1.237467 
