target positions:
-0.2377641 -0.4330127 -0.07725428 
-0.2394377 -0.4330127 0.07189979 
-0.1558724 -0.4330127 0.1954578 
-0.01681727 -0.4330127 0.2494337 
0.1282248 -0.4330127 0.2146122 
0.2276194 -0.4330127 0.1033896 
0.2459824 -0.4330127 -0.04463922 
-0.2743268 -0.4996003 -0.08913425 
-0.2762578 -0.4996003 0.08295635 
-0.1798421 -0.4996003 0.2255148 
-0.01940339 -0.4996003 0.287791 
0.1479429 -0.4996003 0.2476147 
0.2626221 -0.4996003 0.1192886 
0.2838089 -0.4996003 -0.05150372 
-0.3108896 -0.5661879 -0.1010142 
-0.3130779 -0.5661879 0.09401291 
-0.2038118 -0.5661879 0.2555718 
-0.02198951 -0.5661879 0.3261482 
0.1676609 -0.5661879 0.2806172 
0.2976248 -0.5661879 0.1351876 
0.3216354 -0.5661879 -0.05836822 
-0.3847104 -0.2938926 -0.1250001 
-0.3874184 -0.2938926 0.1163363 
-0.252207 -0.2938926 0.3162575 
-0.02721092 -0.2938926 0.4035922 
0.2074721 -0.2938926 0.3472499 
0.3682959 -0.2938926 0.1672879 
0.3980079 -0.2938926 -0.07222778 
-0.4438702 -0.3390867 -0.1442222 
-0.4469945 -0.3390867 0.1342262 
-0.2909907 -0.3390867 0.3648907 
-0.03139535 -0.3390867 0.4656556 
0.2393766 -0.3390867 0.400649 
0.4249315 -0.3390867 0.193013 
0.4592125 -0.3390867 -0.08333477 
-0.5030299 -0.3842807 -0.1634444 
-0.5065707 -0.3842807 0.1521161 
-0.3297744 -0.3842807 0.4135239 
-0.03557977 -0.3842807 0.5277189 
0.2712811 -0.3842807 0.4540482 
0.481567 -0.3842807 0.2187381 
0.5204171 -0.3842807 -0.09444177 
-0.4651368 -0.1039559 -0.1511322 
-0.4684108 -0.1039559 0.1406572 
-0.3049326 -0.1039559 0.3823733 
-0.03289955 -0.1039559 0.487966 
0.2508456 -0.1039559 0.4198449 
0.4452907 -0.1039559 0.2022606 
0.4812142 -0.1039559 -0.0873275 
-0.5366643 -0.1199419 -0.1743729 
-0.5404419 -0.1199419 0.1622871 
-0.3518243 -0.1199419 0.4411736 
-0.03795876 -0.1199419 0.5630041 
0.2894199 -0.1199419 0.4844075 
0.5137663 -0.1199419 0.2333637 
0.555214 -0.1199419 -0.1007565 
-0.6081918 -0.135928 -0.1976136 
-0.6124728 -0.135928 0.183917 
-0.398716 -0.135928 0.499974 
-0.04301797 -0.135928 0.6380422 
0.3279943 -0.135928 0.5489701 
0.582242 -0.135928 0.2644669 
0.6292139 -0.135928 -0.1141855 
-0.4651368 0.1039559 -0.1511322 
-0.4684108 0.1039559 0.1406572 
-0.3049326 0.1039559 0.3823733 
-0.03289955 0.1039559 0.487966 
0.2508456 0.1039559 0.4198449 
0.4452907 0.1039559 0.2022606 
0.4812142 0.1039559 -0.0873275 
-0.5366643 0.1199419 -0.1743729 
-0.5404419 0.1199419 0.1622871 
-0.3518243 0.1199419 0.4411736 
-0.03795876 0.1199419 0.5630041 
0.2894199 0.1199419 0.4844075 
0.5137663 0.1199419 0.2333637 
0.555214 0.1199419 -0.1007565 
-0.6081918 0.135928 -0.1976136 
-0.6124728 0.135928 0.183917 
-0.398716 0.135928 0.499974 
-0.04301797 0.135928 0.6380422 
0.3279943 0.135928 0.5489701 
0.582242 0.135928 0.2644669 
0.6292139 0.135928 -0.1141855 
-0.3847104 0.2938926 -0.1250001 
-0.3874184 0.2938926 0.1163363 
-0.252207 0.2938926 0.3162575 
-0.02721092 0.2938926 0.4035922 
0.2074721 0.2938926 0.3472499 
0.3682959 0.2938926 0.1672879 
0.3980079 0.2938926 -0.07222778 
-0.4438702 0.3390867 -0.1442222 
-0.4469945 0.3390867 0.1342262 
-0.2909907 0.3390867 0.3648907 
-0.03139535 0.3390867 0.4656556 
0.2393766 0.3390867 0.400649 
0.4249315 0.3390867 0.193013 
0.4592125 0.3390867 -0.08333477 
-0.5030299 0.3842807 -0.1634444 
-0.5065707 0.3842807 0.1521161 
-0.3297744 0.3842807 0.4135239 
-0.03557977 0.3842807 0.5277189 
0.2712811 0.3842807 0.4540482 
0.481567 0.3842807 0.2187381 
0.5204171 0.3842807 -0.09444177 
result positions:
-0.3152848 -0.5494913 -0.07223424 
-0.2687156 -0.5320075 0.09045768 
-0.1892311 -0.4720128 0.2147384 
-0.002968639 -0.4438139 0.2799323 
0.127066 -0.4938428 0.2309241 
0.2476281 -0.5053626 0.1313213 
0.2759392 -0.5010067 0.03051728 
-0.3491568 -0.6069192 -0.1333467 
-0.3183337 -0.5330176 0.2233743 
-0.2535411 -0.5844095 0.08828515 
-0.08009529 -0.5492877 0.2632327 
0.1267639 -0.5349938 0.2959837 
0.312827 -0.6252289 0.1482417 
0.3792263 -0.5841658 0.006067514 
-0.3167191 -0.6803116 -0.1575569 
-0.358821 -0.5964171 0.07432637 
-0.3194785 -0.6022044 0.2152493 
-0.0470979 -0.6165499 0.3521121 
0.183899 -0.5701011 0.2620785 
0.3186591 -0.535483 0.17744 
0.4326881 -0.6939852 0.01223981 
-0.3920398 -0.4063295 -0.0536769 
-0.4381423 -0.4208353 -0.01041868 
-0.3050585 -0.3619781 0.3437949 
-0.01054992 -0.3220461 0.3666041 
0.2365308 -0.3308756 0.3440021 
0.4154754 -0.3533815 0.2142284 
0.47517 -0.4101522 0.02469566 
-0.5401686 -0.4149502 -0.08178622 
-0.439809 -0.3948753 0.1905982 
-0.306066 -0.3789568 0.3582839 
-0.03404781 -0.3609874 0.4512942 
0.2528382 -0.3426434 0.4085692 
0.4464583 -0.4047757 0.281791 
0.55248 -0.4121971 -0.01391506 
-0.5417882 -0.5259676 -0.0964517 
-0.6086903 -0.4904382 0.07707798 
-0.3394929 -0.4090663 0.3728135 
-0.05875124 -0.4126665 0.53925 
0.291289 -0.3968133 0.4582716 
0.4509457 -0.4133329 0.3653492 
0.6311986 -0.4287733 -0.0363701 
-0.5761585 -0.1862567 -0.07149738 
-0.4276949 -0.1142154 0.2680606 
-0.3278395 -0.1201059 0.3521055 
-0.03219573 -0.1167482 0.4664398 
0.2269509 -0.09623754 0.4136695 
0.4758371 -0.1137717 0.2414335 
0.6356428 -0.1676384 -0.05840194 
-0.6663318 -0.2226542 -0.200608 
-0.5401316 -0.1376645 0.1990746 
-0.3436293 -0.08891984 0.4896367 
-0.02466384 -0.1441296 0.5574499 
0.2892795 -0.1289355 0.4654515 
0.5969234 -0.1049177 0.3541808 
0.6903046 -0.1883565 -0.08190119 
-0.7054806 -0.1651903 -0.05085832 
-0.6666979 -0.1721922 0.2607334 
-0.4309321 -0.159652 0.4956035 
-0.02262857 -0.1433078 0.6261728 
0.3320734 -0.1435225 0.5476679 
0.6126732 -0.1273265 0.3222732 
0.7165321 -0.09402578 0.1052031 
-0.5918056 0.06687665 -0.09934363 
-0.4521597 0.07167877 0.2315867 
-0.2856229 0.09343928 0.3039905 
-0.04432242 0.09933603 0.4550935 
0.2517745 0.1162089 0.4259419 
0.5004917 0.1499506 0.2478359 
0.6126533 0.1405538 0.01737571 
-0.6376584 0.04222322 -0.09401315 
-0.5708314 0.09687466 0.1803522 
-0.3410564 0.1103118 0.3770239 
-0.1023867 0.1478088 0.514779 
0.293502 0.1710324 0.4661584 
0.5165076 0.138106 0.3273718 
0.6547213 0.1136651 0.07098514 
-0.6653345 0.08816076 0.0225485 
-0.6148092 0.129352 0.223049 
-0.356465 0.1315162 0.4164712 
-0.1251568 0.1566933 0.5730025 
0.3369021 0.1507547 0.5384791 
0.5779662 0.1249897 0.333906 
0.6588328 0.1323362 0.09188426 
-0.5221937 0.3025312 -0.09825891 
-0.4813151 0.3234713 0.0550864 
-0.3429714 0.2776783 0.2942654 
0.01155236 0.3138708 0.3875604 
0.2770659 0.3971037 0.3706 
0.4481714 0.3404914 0.1642957 
0.5502303 0.3316047 -0.0699383 
-0.6147401 0.2521281 -0.1681577 
-0.4575468 0.3264637 0.2118915 
-0.3827983 0.309336 0.2605239 
-0.06739527 0.3523368 0.4496183 
0.28178 0.4100674 0.3789573 
0.533644 0.3670292 0.2081131 
0.6339474 0.3778612 -0.1232219 
-0.6386097 0.3240657 -0.08873355 
-0.6266215 0.3697021 0.01514715 
-0.2911234 0.3838447 0.3862147 
0.02197431 0.3866307 0.427226 
0.310449 0.4029507 0.3994489 
0.5598859 0.3999059 0.1740339 
0.6486 0.3728347 -0.09707862 
