target positions:
1.652592 1.56596 0.8615503 
1.810064 1.648245 0.8210311 
1.970382 1.73095 0.846869 
2.112252 1.803088 0.9356318 
2.216827 1.855078 1.075528 
2.270215 1.880011 1.247975 
2.265324 1.874578 1.430064 
2.202805 1.839498 1.597606 
2.090961 1.779433 1.728346 
1.944652 1.70236 1.804917 
1.78331 1.61852 1.817146 
1.628371 1.539048 1.763409 
1.592957 1.537478 0.7085464 
1.802918 1.647191 0.6545208 
2.016677 1.757464 0.6889713 
2.205836 1.853649 0.807322 
2.345269 1.922968 0.9938502 
2.416453 1.956213 1.223779 
2.409933 1.948968 1.466565 
2.326573 1.902195 1.689955 
2.177449 1.822108 1.864275 
1.982369 1.719345 1.966369 
1.767247 1.607557 1.982674 
1.560661 1.501594 1.911025 
1.533321 1.508996 0.5555429 
1.795773 1.646137 0.4880106 
2.062971 1.783978 0.5310738 
2.29942 1.904209 0.6790118 
2.473711 1.990858 0.9121728 
2.562692 2.032414 1.199584 
2.554541 2.023358 1.503065 
2.450342 1.964892 1.782303 
2.263936 1.864783 2.000203 
2.020086 1.736329 2.12782 
1.751184 1.596595 2.148202 
1.492951 1.464141 2.058641 
1.523731 1.814514 0.8655066 
1.681202 1.896799 0.8249874 
1.841521 1.979504 0.8508248 
1.983391 2.051643 0.9395881 
2.087965 2.103632 1.079484 
2.141354 2.128566 1.251931 
2.136463 2.123132 1.43402 
2.073944 2.088052 1.601563 
1.962101 2.027987 1.732303 
1.81579 1.950915 1.808873 
1.654449 1.867074 1.821102 
1.499509 1.787602 1.767365 
1.464095 1.786032 0.7125027 
1.674057 1.895745 0.6584771 
1.887815 2.006018 0.6929276 
2.076975 2.102203 0.8112779 
2.216408 2.171522 0.997807 
2.287592 2.204767 1.227736 
2.281072 2.197522 1.47052 
2.197712 2.150749 1.693911 
2.048588 2.070662 1.868231 
1.853508 1.967899 1.970325 
1.638386 1.856111 1.98663 
1.4318 1.750149 1.914981 
1.40446 1.75755 0.5594993 
1.666912 1.894691 0.491967 
1.93411 2.032533 0.5350301 
2.170559 2.152763 0.6829681 
2.344851 2.239412 0.9161291 
