target positions:
0.5805783 2.755366 0.3187981 
0.7195463 2.74998 0.2010326 
0.891531 2.746907 0.1408529 
1.073686 2.746554 0.1462533 
1.241815 2.748969 0.216516 
1.373582 2.753831 0.3423076 
1.451484 2.760494 0.506918 
1.465173 2.768073 0.6884806 
1.412831 2.775561 0.8628769 
1.30141 2.781964 1.006939 
1.145711 2.78643 1.101532 
0.9664176 2.788367 1.134089 
0.4514067 2.751358 0.2135532 
0.6366974 2.744177 0.05653286 
0.8660104 2.740079 -0.02370667 
1.108884 2.739609 -0.0165062 
1.333055 2.742829 0.07717729 
1.508745 2.749312 0.2448995 
1.612615 2.758196 0.4643803 
1.630867 2.768301 0.7064636 
1.561077 2.778286 0.9389915 
1.412515 2.786822 1.131075 
1.204917 2.792777 1.257199 
0.9658592 2.79536 1.300608 
0.3222352 2.747351 0.1083088 
0.5538486 2.738374 -0.08796692 
0.8404899 2.733251 -0.1882663 
1.144082 2.732664 -0.1792657 
1.424295 2.736689 -0.06216121 
1.643908 2.744792 0.1474915 
1.773745 2.755898 0.4218423 
1.79656 2.768529 0.7244468 
1.709323 2.781009 1.015107 
1.523621 2.79168 1.255211 
1.264123 2.799124 1.412866 
0.9653006 2.802353 1.467127 
0.5814679 3.035118 0.3070531 
0.720436 3.029732 0.1892879 
0.8924206 3.026659 0.1291082 
1.074576 3.026306 0.1345084 
1.242704 3.028721 0.2047713 
1.374471 3.033583 0.3305628 
1.452374 3.040246 0.4951732 
1.466063 3.047825 0.6767359 
1.413721 3.055314 0.8511319 
1.302299 3.061716 0.9951949 
1.146601 3.066182 1.089787 
0.9673072 3.06812 1.122344 
0.4522963 3.031111 0.2018085 
0.6375871 3.023929 0.04478788 
0.8669001 3.019831 -0.03545141 
1.109774 3.019361 -0.02825117 
1.333945 3.022581 0.06543255 
1.509634 3.029064 0.2331548 
1.613504 3.037948 0.4526353 
1.631757 3.048054 0.6947188 
1.561966 3.058038 0.927247 
1.413405 3.066574 1.119331 
1.205807 3.07253 1.245454 
0.9667487 3.075112 1.288863 
0.3231249 3.027103 0.09656382 
0.5547383 3.018126 -0.09971166 
0.8413795 3.013004 -0.2000113 
1.144971 3.012416 -0.1910105 
1.425185 3.016441 -0.07390594 
1.644797 3.024545 0.1357467 
1.774635 3.03565 0.4100976 
1.79745 3.048281 0.7127018 
1.710212 3.060762 1.003362 
1.52451 3.071433 1.243466 
1.265013 3.078876 1.401121 
0.9661902 3.082105 1.455382 
0.5823576 3.31487 0.2953084 
0.7213256 3.309484 0.1775429 
0.8933103 3.306411 0.1173632 
1.075466 3.306058 0.1227636 
1.243594 3.308473 0.1930263 
1.375361 3.313335 0.3188181 
1.453264 3.319999 0.4834285 
1.466953 3.327578 0.6649909 
1.41461 3.335066 0.8393869 
