target positions:
0.5004466 2.725032 0.497452 
0.6230894 2.736279 0.3299425 
0.8028128 2.754425 0.2269979 
1.008541 2.77633 0.2064183 
1.204701 2.798207 0.2717624 
1.357375 2.816274 0.4117315 
1.440166 2.827407 0.6021235 
1.438756 2.82968 0.8100181 
1.353391 2.822701 0.9994683 
1.198831 2.807677 1.137716 
1.0018 2.787205 1.200858 
0.7963663 2.764824 1.177976 
0.3495263 2.707986 0.4288204 
0.5130502 2.722983 0.2054741 
0.7526813 2.747176 0.06821465 
1.026985 2.776382 0.0407753 
1.288532 2.805552 0.1279008 
1.492098 2.829642 0.3145261 
1.602485 2.844486 0.5683823 
1.600606 2.847517 0.8455749 
1.486786 2.838212 1.098175 
1.280705 2.818179 1.282506 
1.017997 2.790883 1.366695 
0.744086 2.761042 1.336185 
0.1986061 2.69094 0.3601887 
0.403011 2.709686 0.08100581 
0.7025497 2.739927 -0.09056854 
1.04543 2.776436 -0.1248674 
1.372363 2.812898 -0.01596069 
1.626821 2.84301 0.2173209 
1.764805 2.861564 0.5346408 
1.762456 2.865353 0.8811316 
1.620181 2.853722 1.196882 
1.36258 2.828681 1.427296 
1.034194 2.794561 1.532532 
0.6918058 2.75726 1.494395 
0.4704819 3.003405 0.4942048 
0.5931247 3.014653 0.326695 
0.772848 3.032798 0.2237506 
0.9785759 3.054703 0.203171 
1.174736 3.07658 0.2685151 
1.327411 3.094647 0.408484 
1.410201 3.10578 0.598876 
1.408792 3.108053 0.8067708 
1.323427 3.101074 0.9962206 
1.168866 3.08605 1.134469 
0.9718349 3.065578 1.197611 
0.7664016 3.043197 1.174728 
0.3195616 2.986359 0.4255731 
0.4830855 3.001356 0.2022269 
0.7227166 3.025549 0.06496739 
0.9970205 3.054756 0.03752804 
1.258567 3.083925 0.1246533 
1.462134 3.108015 0.3112788 
1.572521 3.122859 0.5651348 
1.570642 3.12589 0.8423276 
1.456821 3.116585 1.094928 
1.250741 3.096552 1.279259 
0.9880323 3.069256 1.363448 
0.7141213 3.039415 1.332938 
0.1686414 2.969313 0.3569412 
