Straight Arm Left Front:
-0.2076715 0.5914229 -0.06191801
-0.4074064 0.5084022 0.145171
-0.5709731 0.3430909 0.2731461
-0.6605237 0.05896109 0.4286382
-0.6573162 -0.257028 0.4866078
-0.5807031 -0.5691348 0.4434168
-0.2739501 -0.9275542 0.1847334

Straight Arm Left:
-0.2509549 0.5992579 -0.1860904
-0.4500838 0.5198205 -0.2697078
-0.6575256 0.351222 -0.3509476
-0.841107 0.01563661 -0.3790371
-0.8535519 -0.3399286 -0.3788657
-0.787986 -0.5936944 -0.2756009
-0.3208408 -0.9511153 -0.005156159

Straight Arm Left Back:
-0.09697811 0.5055537 -0.5286629
-0.3312381 0.3557463 -0.7094722
-0.4394379 0.2118593 -0.7750555
-0.5524784 -0.1163779 -0.8170267
-0.5350927 -0.4676399 -0.7649433
-0.5065182 -0.7844371 -0.5143396
-0.2146429 -0.9947433 -0.1584081

Straight Arm Right Front:
0.2185689 0.583474 -0.1705241
0.3501721 0.543249 0.1041962
0.4866116 0.3466085 0.3614308
0.5542554 -0.06995396 0.5702369
0.5307179 -0.3495876 0.5803494
0.4536505 -0.829298 0.2898987
0.2662298 -0.951152 0.1228972

Straight Arm Right:
0.2489174 0.5958703 -0.2463756
0.5215748 0.4879041 -0.3150099
0.8224778 0.1754625 -0.2623177
0.9187229 -0.1643393 -0.2307115
0.869336 -0.4697811 -0.2344881
0.6984504 -0.752087 -0.10407
0.3666507 -0.9293091 -0.01966125

Straight Arm Right Back:
0.1166651 0.5177366 -0.3786035
0.4081498 0.312853 -0.6388403
0.5665385 0.1362055 -0.7048833
0.5698026 -0.2100238 -0.8004557
0.621703 -0.4124105 -0.7254559
0.6342201 -0.7064134 -0.4603662
0.4036965 -0.89408 0.0001760423

Half Arm Left Front:
-0.151778 0.3903423 -0.08991711
-0.3274656 0.3533409 0.15037
-0.4386521 0.2368855 0.3095361
-0.5418844 -0.00832472 0.4365015
-0.5928544 -0.3018916 0.4414809
-0.5021567 -0.5790714 0.399098
-0.2605516 -0.8420472 0.2654257

Half Arm Left:
-0.09638377 0.3841373 -0.1863499
-0.3756223 0.3426645 -0.2393358
-0.5281268 0.2334118 -0.2623789
-0.6833899 -0.03888434 -0.3045765
-0.7073102 -0.3755777 -0.2001809
-0.5986831 -0.6357189 -0.0748775
-0.358672 -0.8395362 0.04105926

Half Arm Left Back:
-0.09033465 0.292113 -0.3068719
-0.3060411 0.1822927 -0.5257617
-0.4338315 -0.06673855 -0.5799266
-0.4853537 -0.4722849 -0.4851351
-0.5185271 -0.5463147 -0.4363809
-0.4515966 -0.754782 -0.3100684
-0.349838 -0.9014489 -0.08226535

Half Arm Right Front:
0.08752187 0.3090969 -0.08201064
0.1905695 0.3123263 0.1547114
0.3148231 0.2102608 0.2705302
0.4659552 -0.1178059 0.388855
0.4145598 -0.3434335 0.3774647
-2.645524 2.381701 2.079721
0.17207 -0.7065145 0.1854184

Half Arm Right:
0.1593141 0.407661 -0.1361379
0.4266521 0.3327732 -0.09411466
0.5927931 0.2101754 -0.06418073
0.7125405 -0.01344495 0.009914458
0.6126993 -0.3498839 0.1220093
0.441564 -0.6495249 0.1750993
0.2085357 -0.7238336 0.1557013

Half Arm Right Back:
0.08781171 0.2691964 -0.326727
0.2437346 0.09758177 -0.4164673
0.3714514 -0.08938049 -0.4800845
0.4178717 -0.2049357 -0.3440024
0.3721049 -0.5909716 -0.1137235
0.3483368 -0.6828075 0.01292133
0.2228934 -0.7019045 0.1912333

Near Left Front:
-0.09760294 0.1938036 -0.03906553
-0.2288008 0.1057516 0.05151454
-0.2937349 -0.04168103 0.1564999
-0.3190455 -0.0348499 0.1477729
-0.3565293 -0.218422 0.2036193
-0.346271 -0.4313966 0.2164396
-0.1529444 -0.5526689 0.09659418

Near Left:
-0.1988815 0.1434955 -0.1630628
-0.2770213 0.05014386 -0.1683917
-0.3474267 -0.1008454 -0.1402634
-0.3194057 -0.2277601 -0.09801272
-0.2793576 -0.4382619 -0.05049241
-0.2346113 -0.5218391 -0.00214535
-0.1884051 -0.5563649 0.04373588

Near Left Back:
-0.03358836 0.1679268 -0.263005
-0.09830388 0.07546431 -0.321993
-0.1214384 -0.02884566 -0.3269912
-0.1470673 -0.2696897 -0.2383114
-0.1319272 -0.4601228 -0.1379929
-0.08979729 -0.5824173 -0.09790564
-0.04912308 -0.5841374 -0.03979814

Near Right Front:
0.05772581 0.2049726 -0.08817134
0.1420196 0.165838 0.01130724
0.1788892 0.07618716 0.07840376
0.2010215 -0.03412134 0.08476391
0.2549856 -0.2463822 0.1564326
0.2369861 -0.4052578 0.1826235
0.1672459 -0.45559 0.1696957

Near Right:
0.06513239 0.2010923 -0.1563148
0.2100011 0.1463722 -0.1110725
0.2747603 0.08849332 -0.08518711
0.3655946 -0.08155264 -0.03602192
0.4173208 -0.3490786 0.06613916
0.3447891 -0.4998176 0.05124736
0.2424038 -0.4646436 0.07258181

Near Right Back:
0.05859551 0.2001578 -0.1786204
0.1437396 0.1509127 -0.1739028
0.2258707 -0.001993461 -0.1854066
0.3237738 -0.1813893 -0.1661251
0.3498216 -0.3331086 -0.06438002
0.2819532 -0.4329931 -0.02876675
0.1129066 -0.5579181 -0.1605327

